title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Faraway, So Close!",movie,"Drama, Fantasy, Romance",1993,tt0107209,7.2,9459,
Chaplin,movie,"Biography, Comedy, Drama",1992,tt0103939,7.5,63904,
"Beethoven's 2nd",movie,"Comedy, Family, Romance",1993,tt0106375,5,30546,
"Come Sweet Death",movie,"Comedy, Mystery, Thriller",2000,tt0271029,7.5,3537,
"Down to You",movie,"Comedy, Drama, Romance",2000,tt0186975,5,16018,
"Dragonheart: A New Beginning",movie,"Action, Adventure, Comedy",1999,tt0214641,4.5,5235,
"Hustle & Flow",movie,"Crime, Drama, Music",2005,tt0410097,7.3,44340,
"Rules of Engagement",movie,"Drama, Thriller, War",2000,tt0160797,6.4,51453,
"Death Race",movie,"Action, Sci-Fi, Thriller",2008,tt0452608,6.4,223457,
"The ComDads",movie,"Comedy, Crime",1983,tt0085354,6.9,7086,
"Nim's Island",movie,"Adventure, Family, Fantasy",2008,tt0410377,6,37554,
Cujo,movie,"Horror, Thriller",1983,tt0085382,6.1,53126,
"Perfect Blue",movie,"Animation, Crime, Drama",1997,tt0156887,8,106496,
"The Road to El Dorado",movie,"Adventure, Animation, Comedy",2000,tt0138749,6.9,112791,
"Marathon Man",movie,"Crime, Drama, Thriller",1976,tt0074860,7.4,72445,
"The Flying Classroom",movie,"Comedy, Drama, Family",2003,tt0311141,6.2,1463,
"Madagascar: Escape 2 Africa",movie,"Adventure, Animation, Comedy",2008,tt0479952,6.6,258366,
Outlander,movie,"Action, Adventure, Sci-Fi",2008,tt0462465,6.2,80035,
"The Italian Job",movie,"Action, Comedy, Crime",1969,tt0064505,7.2,52170,
"The Doors",movie,"Biography, Drama, Music",1991,tt0101761,7.2,101907,
"Ned Kelly",movie,"Action, Adventure, Biography",2003,tt0277941,6.4,28631,
"The Crow: City of Angels",movie,"Action, Crime, Fantasy",1996,tt0115986,4.6,22828,
"When We Were Kings",movie,"Documentary, Sport",1996,tt0118147,7.9,19793,
"Remo Williams: The Adventure Begins",movie,"Action, Adventure, Comedy",1985,tt0089901,6.4,14470,
"Shark Tale",movie,"Adventure, Animation, Comedy",2004,tt0307453,6,205246,
"Child's Play",movie,"Horror, Thriller",1988,tt0094862,6.7,124169,
"The Ghost and the Darkness",movie,"Adventure, Drama, Thriller",1996,tt0116409,6.8,67615,
"The Cat in the Hat",movie,"Adventure, Comedy, Family",2003,tt0312528,4.1,90557,
"Hart's War",movie,"Drama, War",2002,tt0251114,6.4,56511,
Replicant,movie,"Action, Sci-Fi, Thriller",2001,tt0238552,5.4,16154,
"Peter Pan",movie,"Adventure, Family, Fantasy",2003,tt0316396,6.8,82406,
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",movie,"Comedy, Crime",1996,tt0116126,6.5,64303,
Barbershop,movie,"Comedy, Drama",2002,tt0303714,6.3,34526,
"The Englishman Who Went Up a Hill But Came Down a Mountain",movie,"Comedy, Drama, Romance",1995,tt0112966,6.6,19134,
"Mean Girls",movie,Comedy,2004,tt0377092,7.1,458762,
"The Hunted",movie,"Action, Crime, Drama",2003,tt0269347,6.1,53001,
"In the Heat of the Night",movie,"Drama, Mystery, Thriller",1967,tt0061811,7.9,87034,
"Hamburger Hill",movie,"Action, Drama, Thriller",1987,tt0093137,6.7,28912,
Subway,movie,Thriller,1985,tt0090095,6.5,17003,
"Needful Things",movie,"Crime, Drama, Fantasy",1993,tt0107665,6.3,28810,
"It Could Happen to You",movie,"Comedy, Drama, Romance",1994,tt0110167,6.4,46545,
[Rec]²,movie,"Horror, Thriller",2009,tt1245112,6.5,81356,
"The Strangers",movie,"Horror, Mystery, Thriller",2008,tt0482606,6.1,151120,
"Dirty Dancing: Havana Nights",movie,"Drama, Music, Romance",2004,tt0338096,5.9,30073,
"Mimic 2",movie,"Horror, Sci-Fi, Thriller",2001,tt0239641,4.6,6332,
"The Day of the Beast",movie,"Action, Comedy, Crime",1995,tt0112922,7.3,24961,
Bulletproof,movie,"Action, Comedy, Crime",1996,tt0115783,5.8,41161,
"American Psycho II: All American Girl",movie,"Horror, Thriller",2002,tt0283877,3.7,18738,
"King Kong",movie,"Adventure, Horror",1976,tt0074751,6,36886,
"Escape from Alcatraz",movie,"Biography, Crime, Drama",1979,tt0079116,7.6,154681,
Bobby,movie,"Biography, Drama, History",2006,tt0308055,7,43344,
Confidence,movie,"Crime, Thriller",2003,tt0310910,6.6,35876,
"Toy Soldiers",movie,"Action, Drama, Thriller",1991,tt0103112,6.6,26151,
"Made of Honor",movie,"Comedy, Romance",2008,tt0866439,5.8,77811,
"Without a Paddle",movie,"Adventure, Comedy, Mystery",2004,tt0364751,5.8,52704,
"The Sheriff and the Satellite Kid",movie,"Action, Comedy, Family",1979,tt0079859,6.1,4442,
"The Tuxedo",movie,"Action, Comedy, Sci-Fi",2002,tt0290095,5.4,90794,
"The Frighteners",movie,"Comedy, Fantasy, Horror",1996,tt0116365,7.1,98756,
"The Thing from Another World",movie,"Horror, Sci-Fi",1951,tt0044121,7.1,35071,
"Robin and Marian",movie,"Adventure, Drama, Romance",1976,tt0075147,6.5,14414,
