title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,214831,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,452358,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1131080,
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,749818,
"Absolute Power",movie,"Action, Crime, Drama",1997,tt0118548,6.7,62526,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,147566,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1226513,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,251353,
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,356861,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,850961,
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,300540,
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,189810,
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,127022,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1748397,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,972577,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1369641,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,942093,
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,114716,
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,82649,
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,113452,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,383845,
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,887235,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,548832,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2097060,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1863654,
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2067474,
"The Lord of the Rings",movie,"Adventure, Animation, Fantasy",1978,tt0077869,6.2,37709,
"Princess Mononoke",movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,456650,
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,902812,
"Gimme Shelter",movie,"Documentary, Music, Thriller",1970,tt0065780,7.8,13316,
Primary,movie,"Documentary, History, News",1960,tt0054205,7.1,1575,
"Bob Dylan: Dont Look Back",movie,"Documentary, Music",1967,tt0061589,7.9,10591,
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,713397,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80544,
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,287461,
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,131132,
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,3003456,
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,642681,
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,425127,
